L1  n. (also l) (pl. Ls or l's) 1 twelfth letter of the alphabet. 2 (as a roman numeral) 50.
Linsey-woolsey  n. Fabric of coarse wool woven on a cotton warp. [probably from lindsey in suffolk + *wool]

Lint  n. 1 linen or cotton with a raised nap on one side, used for dressing wounds. 2 fluff. [perhaps from french linette from lin flax]

Lintel  n. Horizontal timber, stone, etc., across the top of a door or window. [french: related to *limit]

Lion  n. 1 (fem. Lioness) large tawny flesh-eating wild cat of africa and s. Asia. 2 (the lion) zodiacal sign or constellation leo. 3 brave or celebrated person. [latin leo]

Lion-heart  n. Courageous person.  lion-hearted adj.

Lionize  v. (also -ise) (-zing or -sing) treat as a celebrity.

Lion's share  n. Largest or best part.

Lip  —n. 1 either of the two fleshy parts forming the edges of the mouth-opening. 2 edge of a cup, vessel, etc., esp. The part shaped for pouring from. 3 colloq. Impudent talk. —v. (-pp-) 1 touch with the lips; apply the lips to. 2 touch lightly.  lipped adj. (also in comb.). [old english]
Lipid  n. Any of a group of fatlike substances that are insoluble in water but soluble in organic solvents, including fatty acids, oils, waxes, and steroids. [greek lipos fat]

Liposuction  n. Technique in cosmetic surgery for removing excess fat from under the skin by suction.

Lip-read  v. Understand (speech) from observing a speaker's lip-movements.

Lip-service  n. Insincere expression of support etc.

Lipstick  n. Stick of cosmetic for colouring the lips.

Liquefy  v. (-ies, -ied) make or become liquid.  liquefaction n. [latin: related to *liquid]

Liqueur  n. Any of several strong sweet alcoholic spirits. [french]

Liquid  —adj. 1 having a consistency like that of water or oil, flowing freely but of constant volume. 2 having the qualities of water in appearance. 3 (of sounds) clear and pure. 4 (of assets) easily converted into cash. —n. 1 liquid substance. 2 phonet. Sound of l or r. [latin liqueo be liquid]

Liquidate  v. (-ting) 1 wind up the affairs of (a firm) by ascertaining liabilities and apportioning assets. 2 pay off (a debt). 3 wipe out, kill.  liquidator n. [medieval latin: related to *liquid]

Liquidation  n. Liquidating, esp. Of a firm.  go into liquidation (of a firm etc.) Be wound up and have its assets apportioned.

Liquid crystal  n. Turbid liquid with some order in its molecular arrangement.

Liquid crystal display  n. Visual display in electronic devices, in which the reflectivity of a matrix of liquid crystals changes as a signal is applied.

Liquidity  n. (pl. -ies) 1 state of being liquid. 2 availability of liquid assets.

Liquidize  v. (also -ise) (-zing or -sing) reduce to a liquid state.

Liquidizer  n. (also -iser) machine for liquidizing foods.

Liquor  n. 1 alcoholic (esp. Distilled) drink. 2 other liquid, esp. That produced in cooking. [latin: related to *liquid]

Liquorice  n. (also licorice) 1 black root extract used as a sweet and in medicine. 2 plant from which it is obtained. [greek glukus sweet, rhiza root]

Lira  n. (pl. Lire pronunc. Same or) 1 chief monetary unit of italy. 2 chief monetary unit of turkey. [latin libra pound]

Lisle  n. Fine cotton thread for stockings etc. [lille in france]

Lisp  —n. Speech defect in which s is pronounced like th in thick and z is pronounced like th in this. —v. Speak or utter with a lisp. [old english]

Lissom  adj. Lithe, agile. [ultimately from *lithe]

List1  —n. 1 number of items, names, etc., written or printed together as a record or aid to memory. 2 (in pl.) A palisades enclosing an area for a tournament. B scene of a contest. —v. 1 make a list of. 2 enter in a list. 3 (as listed adj.) A (of securities) approved for dealings on the stock exchange. B (of a building) of historical importance and officially protected.  enter the lists issue or accept a challenge. [old english]

List2  —v. (of a ship etc.) Lean over to one side. —n. Process or instance of listing. [origin unknown]

Listen  v. 1 a make an effort to hear something. B attentively hear a person speaking. 2 (foll. By to) a give attention with the ear. B take notice of; heed. 3 (also listen out) (often foll. By for) seek to hear by waiting alertly.  listen in 1 tap a telephonic communication. 2 use a radio receiving set. [old english]

Listener  n. 1 person who listens. 2 person who listens to the radio.

Listeria  n. Any of several bacteria infecting humans and animals eating contaminated food. [lister, name of a surgeon]

Listless  adj. Lacking energy or enthusiasm.  listlessly adv. Listlessness n. [from obsolete list inclination]

List price  n. Price of something as shown in a published list.
Lit  past and past part. Of *light1, *light2.

Litany  n. (pl. -ies) 1 a series of supplications to god recited by a priest etc. With set responses by the congregation. B (the litany) that in the book of common prayer. 2 tedious recital (litany of woes). [greek litaneia prayer]

Litchi  var. Of *lychee.

Liter  n. (brit. Litre) metric unit of capacity equal to 1 cubic decimetre (1.76 pints). [greek litra]

Literacy  n. Ability to read and write. [latin littera letter]

Literal  —adj. 1 taking words in their basic sense without metaphor or allegory. 2 corresponding exactly to the original words (literal translation). 3 prosaic; matter-of-fact. 4 so called without exaggeration (literal bankruptcy). 5 of a letter or the letters of the alphabet. —n. Misprint.  literally adv. [latin littera letter]

Literalism  n. Insistence on a literal interpretation; adherence to the letter.  literalist n.

Literary  adj. 1 of or concerned with books or literature etc. 2 (of a word or idiom) used chiefly by writers; formal.  literariness n. [latin: related to *letter]

Literate  —adj. Able to read and write; educated. —n. Literate person.

Literati  n.pl. The class of learned people.

Literature  n. 1 written works, esp. Those valued for form and style. 2 writings of a country or period or on a particular subject. 3 literary production. 4 colloq. Printed matter, leaflets, etc.

Lithe  adj. Flexible, supple. [old english]

Lithium  n. Soft silver-white metallic element. [greek lithion from lithos stone]

Litho  colloq. —n. = *lithography. —v. (-oes, -oed) lithograph. [abbreviation]

Lithograph  —n. Lithographic print. —v. Print by lithography. [greek lithos stone]

Lithography  n. Process of printing from a plate so treated that ink adheres only to the design to be printed.  lithographer n. Lithographic adj. Lithographically adv.

Lithuanian  —n. 1 a native or national of lithuania in eastern europe. B person of lithuanian descent. 2 language of lithuania. —adj. Of lithuania, its people, or language.

Litigant  —n. Party to a lawsuit. —adj. Engaged in a lawsuit. [related to *litigate]

Litigate  v. (-ting) 1 go to law. 2 contest (a point) at law.  litigation n. Litigator n. [latin lis lit- lawsuit]

Litigious  adj. 1 fond of litigation. 2 contentious. [latin: related to *litigate]

Litmus  n. Dye from lichens, turned red by acid and blue by alkali. [old norse, = dye-moss]

Litmus paper  n. Paper stained with litmus, used to test for acids or alkalis.

Litmus test  n. Colloq. Real or ultimate test.

Litotes  n. (pl. Same) ironic understatement, esp. Using the negative (e.g. I shan't be sorry for i shall be glad). [greek litos plain, meagre]

Litre  n. (us liter) metric unit of capacity equal to 1 cubic decimetre (1.76 pints). [greek litra]

Litt.d.  Abbr. Doctor of letters. [latin litterarum doctor]

Litter  —n. 1 a refuse, esp. Paper, discarded in a public place. B odds and ends lying about. 2 young animals brought forth at one birth. 3 vehicle containing a couch and carried on men's shoulders or by animals. 4 a kind of stretcher for the sick and wounded. 5 straw etc., as bedding for animals. 6 granulated material for use as an animal's, esp. A cat's, toilet indoors. —v. 1 make (a place) untidy with refuse. 2 give birth to (whelps etc.). 3  a provide (a horse etc.) With litter as bedding. B spread straw etc. On (a stable-floor etc.). [latin lectus bed]

Litterbug  n. Colloq. Person who drops litter in the street etc.

Litter-lout  n. Colloq. = *litterbug.

Little  —adj. (littler, littlest; less or lesser, least) 1 small in size, amount, degree, etc.; often used affectionately or condescendingly (friendly little chap; silly little fool). 2 a short in stature. B of short distance or duration. 3 (prec. By a) a certain though small amount of (give me a little butter). 4 trivial (questions every little thing).
Little bear  see *bear2.

Little by little  adv. By degrees; gradually.

Little end  n. The smaller end of a connecting-rod, attached to the piston.

Little grebe  n. Small water-bird of the grebe family.

Little people  n.pl. (prec. By the) fairies.

Little woman  n. (prec. By the) colloq. Often derog. One's wife.

Littoral  —adj. Of or on the shore. —n. Region lying along a shore. [latin litus litor- shore]

Liturgy  n. (pl. -ies) 1 prescribed form of public worship. 2 (the liturgy) the book of common prayer.  liturgical adj. Liturgically adv. [greek leitourgia public worship]

Livable  var. Of *liveable.

Live1  v. (-ving) 1 have life; be or remain alive. 2 have one's home (lives up the road). 3 (foll. By on) subsist or feed (lives on fruit). 4 (foll. By on, off) depend for subsistence (lives off the state; lives on a pension). 5 (foll. By on, by) sustain one's position (live on their reputation; lives by his wits). 6 a spend or pass (lived a full life). B express in one's life (lives his faith). 7 conduct oneself, arrange one's habits, etc., in a specified way (live quietly). 8 (often foll. By on) (of a person or thing) survive; remain (memory lived on). 9 enjoy life to the full (not really living).  live and let live condone others' failings so as to be similarly tolerated. Live down cause (past guilt, a scandal, etc.) To be forgotten by blameless conduct thereafter. Live for regard as one's life's purpose (lives for her music). Live in (or out) reside on (or off) the premises of one's work. Live it up colloq. Live gaily and extravagantly. Live a lie keep up a pretence. Live together (esp. Of a couple not married to each other) share a home and have a sexual relationship. Live up to fulfil. Live with 1 share a home with. 2 tolerate. [old english]

Live2  —adj. 1 (attrib.) That is alive; living. 2 (of a broadcast, performance, etc.) Heard or seen at the time of its performance or with an audience present. 3 of current interest or importance (a live issue). 4 glowing, burning (live coals). 5 (of a match, bomb, etc.) Not yet kindled or exploded. 6 (of a wire etc.) Charged with or carrying electricity. —adv. 1 in order to make a live broadcast (going live now to the house of commons). 2 as a live performance etc. (show went out live). [from *alive]

Liveable  adj. (also livable) 1 colloq. (usu. Liveable-in) (of a house etc.) Fit to live in. 2 (of a life) worth living. 3 colloq. (usu. Liveable-with) (of a person) easy to live with.

Lived-in  adj. 1 (of a room etc.) Showing signs of habitation. 2 colloq. (of a face) marked by experience.

Live-in  attrib. Adj. (of a sexual partner, employee, etc.) Cohabiting; resident.

Livelihood  n. Means of living; job, income. [old english: related to *life]

Livelong  adj. In its entire length (the livelong day). [from obsolete lief, assimilated to *live1]
Lively  adj. (-ier, -iest) 1 full of life; vigorous, energetic. 2 vivid (lively imagination). 3 cheerful. 4 joc. Exciting, dangerous (made things lively for him).  liveliness n. [old english]

Liven  v. (often foll. By up) colloq. Make or become lively, cheer up.

Liver1  n. 1 large glandular organ in the abdomen of vertebrates. 2 liver of some animals as food. [old english]

Liver2  n. Person who lives in a specified way (a fast liver).

Liveried  adj. Wearing livery.

Liverish  adj. 1 suffering from a liver disorder. 2 peevish, glum.

Liverpudlian  —n. Native of liverpool. —adj. Of liverpool. [liverpool in nw england]

Liver sausage  n. Sausage of cooked liver etc.

Liverwort  n. Small mosslike or leafless plant sometimes lobed like a liver.

Livery  n. (pl. -ies) 1 distinctive uniform of a member of a city company or of a servant. 2 distinctive guise or marking (birds in their winter livery). 3 distinctive colour scheme in which a company's vehicles etc. Are painted.  at livery (of a horse) kept for the owner for a fixed charge. [anglo-french liveré, past part. Of livrer *deliver]

Livery stable  n. Stable where horses are kept at livery or let out for hire.

Lives  pl. Of *life.

Livestock  n. (usu. Treated as pl.) Animals on a farm, kept for use or profit.

Live wire  n. Spirited person.

Livid  adj. 1 colloq. Furious. 2 of a bluish leaden colour (livid bruise). [latin]

Living  —n. 1 being alive (that's what living is all about). 2 livelihood. 3 position held by a clergyman, providing an income. —adj. 1 contemporary; now alive. 2 (of a likeness) exact, lifelike. 3 (of a language) still in vernacular use.  within living memory within the memory of people still alive.

Living-room  n. Room for general day use.

Living wage  n. Wage on which one can live without privation.

Lizard  n. Reptile with usu. A long body and tail, four legs, and a rough or scaly hide. [latin lacertus]

Lj  abbr. (pl. L jj) lord justice.

'Ll  v. (usu. After pronouns) shall, will (i'll; that'll). [abbreviation]

Llama  n. S. American ruminant kept as a beast of burden and for its soft woolly fleece. [spanish from quechua]

Ll b  abbr. Bachelor of laws. [latin legum baccalaureus]

Ll d  abbr. Doctor of laws. [latin legum doctor]

Ll m  abbr. Master of laws. [latin legum magister]

Lloyd's  n. Incorporated society of underwriters in london. [lloyd, proprietor of the coffee-house where the society originally met]

Lloyd's list  n. Daily publication devoted to shipping news.

Lloyd's register  n. Annual classified list of all ships.

Ln  abbr. Natural logarithm.

Lo  int. Archaic look.  lo and behold joc. Formula introducing mention of a surprising fact. [old english]

Loach  n. (pl. Same or -es) small freshwater fish. [french]

Load  —n. 1 a what is carried or to be carried. B amount usu. Or actually carried (often in comb.: lorry-load of bricks). 2 burden or commitment of work, responsibility, care, etc. 3 colloq. A (in pl.; often foll. By of) plenty, a lot (loads of money, people). B (a load of) a quantity (a load of nonsense). 4 amount of power carried by an electric circuit or supplied by a generating station. —v. 1 a put a load on or aboard. B place (a load) aboard a ship, on a vehicle, etc. 2 (often foll. By up) (of a vehicle or person) take a load aboard. 3 (often foll. By with) burden, strain (loaded with food). 4 (also load up) (foll. By with) overburden, overwhelm (loaded us with work, with abuse). 5 a put ammunition in (a gun), film in (a camera), a cassette in (a tape recorder), a program in (a computer), etc. B put (a film, cassette, etc.) Into a device. 6 give a bias to.  get a load of slang take note of. [old english, = way]

Loaded  adj. 1 slang a rich. B drunk. C us drugged. 2 (of dice etc.) Weighted. 3 (of a question or statement) carrying some hidden implication.
Loader  n. 1 loading-machine. 2 (in comb.) Gun, machine, lorry, etc., loaded in a specified way (breech-loader; front-loader).  -loading adj. (in comb.) (in sense 2).

Load line  n. = *plimsoll line.

Loadstone  var. Of *lodestone.

Loaf1  n. (pl. Loaves) 1 unit of baked bread, usu. Of a standard size or shape. 2 other food made in the shape of a loaf and cooked. 3 slang head as the seat of common sense. [old english]

Loaf2  v. (often foll. By about, around) spend time idly; hang about. [back-formation from *loafer]

Loafer  n. 1 idle person. 2 (loafer) propr. Flat soft-soled leather shoe. [origin uncertain]

Loam  n. Rich soil of clay, sand, and humus.  loamy adj. [old english]

Loan  —n. 1 thing lent, esp. A sum of money. 2 lending or being lent. —v. Lend (money, works of art, etc.).  on loan being lent. [old english]

Loan shark  n. Colloq. Person who lends money at exorbitant rates of interest.

Loath  predic. Adj. (also loth) disinclined, reluctant (loath to admit it). [old english]

Loathe  v. (-thing) detest, hate.  loathing n. [old english]

Loathsome  adj. Arousing hatred or disgust; repulsive.

Loaves  pl. Of *loaf1.

Lob  —v. (-bb-) hit or throw (a ball etc.) Slowly or in a high arc. —n. Such a ball. [probably low german or dutch]

Lobar  adj. Of a lobe, esp. Of the lung (lobar pneumonia).

Lobate  adj. Having a lobe or lobes.

Lobby  —n. (pl. -ies) 1 porch, ante-room, entrance-hall, or corridor. 2 a (in the house of commons) large hall used esp. For interviews between mps and the public. B (also division lobby) each of two corridors to which mps retire to vote. 3 a body of lobbyists (anti-abortion lobby). B organized rally of lobbying members of the public. 4 (prec. By the) group of journalists who receive unattributable briefings from the government (lobby correspondent). —v. (-ies, -ied) 1 solicit the support of (an influential person). 2 (of members of the public) inform in order to influence (legislators, an mp, etc.). 3 frequent a parliamentary lobby. [latin lobia lodge]

Lobbyist  n. Person who lobbies an mp etc., esp. Professionally.

Lobe  n. 1 lower soft pendulous part of the outer ear. 2 similar part of other organs, esp. The brain, liver, and lung.  lobed adj. [greek lobos lobe, pod]

Lobelia  n. Plant with bright, esp. Blue, flowers. [lobel, name of a botanist]

Lobotomy  n. (pl. -ies) incision into the frontal lobe of the brain, formerly used in some cases of mental disorder. [from *lobe]

Lobscouse  n. Sailor's dish of meat stewed with vegetables and ship's biscuit. [origin unknown]

Lobster  n. 1 marine crustacean with two pincer-like claws. 2 its flesh as food. [latin locusta lobster, *locust]

Lobster-pot  n. Basket for trapping lobsters.

Lobworm  n. Large earthworm used as fishing-bait. [from *lob in obsolete sense ‘pendulous object’]

Local  —adj. 1 belonging to, existing in, or peculiar to a particular place (local history). 2 of the neighbourhood (local paper). 3 of or affecting a part and not the whole (local anaesthetic). 4 (of a telephone call) to a nearby place and charged at a lower rate. —n. 1 inhabitant of a particular place. 2 (often prec. By the) colloq. Local public house. 3 local anaesthetic.  locally adv. [latin locus place]

Local authority  n. Administrative body in local government.

Local colour  n. Touches of detail in a story etc. Designed to provide a realistic background.

Locale  n. Scene or locality of an event or occurrence. [french local]

Local government  n. System of administration of a county, district, parish, etc., by the elected representatives of those who live there.

Locality  n. (pl. -ies) 1 district. 2 site or scene of a thing. 3 thing's position. [latin: related to *local]
Localize  v. (also -ise) (-zing or -sing) 1 restrict or assign to a particular place. 2 invest with the characteristics of a particular place. 3 decentralize.

Local time  n. Time in a particular place.

Local train  n. Train stopping at all the stations on its route.

Locate  v. (-ting) 1 discover the exact place of. 2 establish in a place; situate. 3 state the locality of. [latin: related to *local]

Usage  in standard english, it is not acceptable to use locate to mean merely ‘find’ as in can't locate my key.

Location  n. 1 particular place. 2 locating. 3 natural, not studio, setting for a film etc. (filmed on location).

Loc. Cit.  Abbr. In the passage cited. [latin loco citato]

Loch  n. Scot. Lake or narrow inlet of the sea. [gaelic]

Loci  pl. Of *locus.

Lock1  —n. 1 mechanism for fastening a door etc., with a bolt that requires a key of a particular shape to work it. 2 confined section of a canal or river within sluice-gates, for moving boats from one level to another. 3 a turning of a vehicle's front wheels. B (in full full lock) maximum extent of this. 4 interlocked or jammed state. 5 wrestling-hold that keeps an opponent's limb fixed. 6 (in full lock forward) player in the second row of a rugby scrum. 7 mechanism for exploding the charge of a gun. —v. 1 a fasten with a lock. B (foll. By up) shut (a house etc.) Thus. C (of a door etc.) Be lockable. 2 a (foll. By up, in, into) enclose (a person or thing) by locking. B (foll. By up) colloq. Imprison (a person). 3 (often foll. By up, away) store inaccessibly (capital locked up in land). 4 (foll. By in) hold fast (in sleep, an embrace, a struggle, etc.). 5 (usu. In passive) (of land, hills, etc.) Enclose. 6 make or become rigidly fixed. 7 (cause to) jam or catch.  lock on to (of a missile etc.) Automatically find and then track (a target). Lock out 1 keep out by locking the door. 2 (of an employer) subject (employees) to a lockout. Under lock and key locked up.  lockable adj. [old english]

Lock2  n. 1 portion of hair that hangs together. 2 (in pl.) The hair of the head (golden locks). [old english]

Locker  n. (usu. Lockable) cupboard or compartment, esp. For public use.

Locket  n. Small ornamental case for a portrait or lock of hair, worn on a chain round the neck. [french diminutive of loc latch, *lock1]

Lockjaw  n. Form of tetanus in which the jaws become rigidly closed.

Lock-keeper  n. Person in charge of a river or canal lock.

Lockout  n. Employer's exclusion of employees from the workplace until certain terms are agreed to.

Locksmith  n. Maker and mender of locks.

Lock, stock, and barrel  adv. Completely.

Lock-up  —n. 1 house or room for the temporary detention of prisoners. 2 premises that can be locked up, esp. A small shop. —attrib. Adj. That can be locked up (lock-up garage).

Loco1  n. (pl. -s) colloq. Locomotive engine. [abbreviation]

Loco2  predic. Adj. Slang crazy. [spanish]

Locomotion  n. Motion or the power of motion from place to place. [latin *locus, *motion]

Locomotive  —n. Engine for pulling trains. —adj. Of, having, or effecting locomotion.

Locum tenens  n. (pl. Locum tenentes) (also colloq. Locum) deputy acting esp. For a doctor or clergyman. [latin, = (one) holding a place]

Locus  n. (pl. Loci) 1 position or locality. 2 line or curve etc. Formed by all the points satisfying certain conditions, or by the defined motion of a point, line, or surface. [latin, = place]

Locus classicus  n. (pl. Loci classici) best known or most authoritative passage on a subject. [latin: related to *locus]

Locust  n. African or asian grasshopper migrating in swarms and consuming all vegetation. [latin locusta locust, *lobster]

Locution  n. 1 word, phrase, or idiom. 2 style of speech. [latin loquor locut- speak]

Lode  n. Vein of metal ore. [var. Of *load]
Lodestar  n. 1 star used as a guide in navigation, esp. The pole star. 2 a guiding principle. B object of pursuit. [from *lode in obsolete sense ‘way, journey’]

Lodestone  n. (also loadstone) 1 magnetic oxide of iron. 2 a piece of this used as a magnet. B thing that attracts.

Lodge  —n. 1 small house at the entrance to a park or grounds of a large house, occupied by a gatekeeper etc. 2 small house used in the sporting seasons (hunting lodge). 3 porter's room at the gate of a college, factory, etc. 4 members or meeting-place of a branch of a society such as the freemasons. 5 beaver's or otter's lair. —v. (-ging) 1 a reside or live, esp. As a lodger. B provide with temporary accommodation. 2 submit or present (a complaint etc.) For attention. 3 become fixed or caught; stick. 4 deposit (money etc.) For security. 5 (foll. By in, with) place (power etc.) In a person. [french loge: related to *leaf]

Lodger  n. Person paying for accommodation in another's house.

Lodging  n. 1 temporary accommodation (a lodging for the night). 2 (in pl.) Room or rooms rented for lodging in.

Loess  n. Deposit of fine wind-blown soil, esp. In the basins of large rivers. [swiss german, = loose]

Loft  —n. 1 attic. 2 room over a stable. 3 gallery in a church or hall. 4 pigeon-house. 5 backward slope on the face of a golf-club. 6 lofting stroke. —v. Send (a ball etc.) High up. [old english, = air, upper room]

Lofty  adj. (-ier, -iest) 1 (of things) of imposing height. 2 haughty, aloof. 3 exalted, noble (lofty ideals).  loftily adv. Loftiness n.

Log1  —n. 1 unhewn piece of a felled tree; any large rough piece of wood, esp. Cut for firewood. 2 hist. Floating device for gauging a ship's speed. 3 record of events occurring during the voyage of a ship or aircraft. 4 any systematic record of deeds, experiences, etc. 5 = *logbook. —v. (-gg-) 1 a enter (a ship's speed, or other transport details) in a logbook. B enter (data etc.) In a regular record. 2 attain (a distance, speed, etc., thus recorded) (had logged over 600 miles). 3 cut into logs.  log in = log on. Log on (or off) open (or close) one's online access to a computer system. Sleep like a log sleep soundly. [origin unknown]

Log2  n. Logarithm. [abbreviation]

Logan  n. (in full logan-stone) poised heavy stone rocking at a touch. [= (dial.) Logging, = rocking]

Loganberry  n. (pl. -ies) dark red fruit, hybrid of a blackberry and a raspberry. [logan, name of a horticulturalist]

Logarithm  n. One of a series of arithmetic exponents tabulated to simplify computation by making it possible to use addition and subtraction instead of multiplication and division.  logarithmic adj. Logarithmically adv. [greek logos reckoning, arithmos number]

Logbook  n. 1 book containing a detailed record or log. 2 vehicle registration document.

Log cabin  n. Hut built of logs.

Logger  n. Us lumberjack.

Loggerhead  n.  at loggerheads (often foll. By with) disagreeing or disputing. [probably dial. From logger wooden block]

Loggia  n. Open-sided gallery or arcade. [italian, = *lodge]

Logging  n. Work of cutting and preparing forest timber.

Logic  n. 1 a science of reasoning. B particular system or method of reasoning. 2 a chain of reasoning (regarded as sound or unsound). B use of or ability in argument. 3 inexorable force, compulsion, or consequence (the logic of events). 4 a principles used in designing a computer etc. B circuits using this.  logician n. [related to *-logic]

-logic  comb. Form (also -logical) forming adjectives corresponding esp. To nouns in -logy (pathological; zoological). [greek -logikos]

Logical  adj. 1 of or according to logic (the logical conclusion). 2 correctly reasoned. 3 defensible or explicable on the ground of consistency. 4 capable of correct reasoning.  logicality n. Logically adv. [greek logos word, reason]
-logist  comb. Form forming nouns meaning ‘person skilled in -logy’ (geologist).

Logistics  n.pl. 1 organization of (orig. Military) services and supplies. 2 organization of any complex operation.  logistic adj. Logistical adj. Logistically adv. [french loger lodge]

Log-jam  n. Deadlock.

Logo  n. (pl. -s) emblem of an organization used in its display material etc. [abbreviation of logotype from greek logos word]

-logy  comb. Form forming nouns denoting: 1 a subject of study (biology). 2 speech or discourse or a characteristic of this (trilogy; tautology; phraseology). [greek -logia from logos word]

Loin  n. 1 (in pl.) Side and back of the body between the ribs and the hip-bones. 2 joint of meat from this part of an animal. [french loigne from latin lumbus]

Loincloth  n. Cloth worn round the hips, esp. As a sole garment.

Loiter  v. 1 stand about idly; linger. 2 go slowly with frequent stops.  loiter with intent linger in order to commit a felony.  loiterer n. [dutch]

Loll  v. 1 stand, sit, or recline in a lazy attitude. 2 hang loosely. [imitative]

Lollipop  n. Hard sweet on a stick. [origin uncertain]

Lollipop man  n. (also lollipop lady) colloq. Warden using a circular sign on a pole to stop traffic for children to cross the road.

Lollop  v. (-p-) colloq. 1 flop about. 2 move in ungainly bounds. [probably from *loll, *trollop]

Lolly  n. (pl. -ies) 1 colloq. Lollipop. 2 = *ice lolly. 3 slang money. [abbreviation]

Londoner  n. Native or inhabitant of london.

London pride  n. Pink-flowered saxifrage.

Lone  attrib. Adj. 1 solitary; without companions. 2 isolated. 3 unmarried, single (lone parent). [from *alone]

Lone hand  n. 1 hand played or player playing against the rest at cards. 2 person or action without allies.

Lonely  adj. (-ier, -iest) 1 without companions (lonely existence). 2 sad because of this. 3 unfrequented, isolated, uninhabited.  loneliness n.

Lonely hearts  n.pl. People seeking friendship or marriage through a newspaper column, club, etc.

Loner  n. Person or animal that prefers to be alone.

Lonesome  adj. Esp. Us 1 lonely. 2 making one feel forlorn (a lonesome song).

Lone wolf  n. Loner.

Long1  —adj. (longer; longest) 1 measuring much from end to end in space or time. 2 (following a measurement) in length or duration (2 metres long; two months long). 3 a consisting of many items (a long list). B seemingly more than the stated amount; tedious (ten long miles). 4 of elongated shape. 5 lasting or reaching far back or forward in time (long friendship). 6 far-reaching; acting at a distance; involving a great interval or difference. 7 (of a vowel or syllable) having the greater of the two recognized durations. 8 (of odds or a chance) reflecting a low level of probability. 9 (of stocks) bought in large quantities in advance, with the expectation of a rise in price. 10 (foll. By on) colloq. Well supplied with. —n. Long interval or period (will not take long; won't be long). —adv. (longer; longest) 1 by or for a long time (long before; long ago). 2 (following nouns of duration) throughout a specified time (all day long). 3 (in compar.) After an implied point of time (shall not wait any longer).  as (or so) long as provided that. Before long soon. In the long run (or term) eventually, ultimately. The long and the short of it 1 all that need be said. 2 the eventual outcome. Not by a long shot (or chalk) by no means.  longish adj. [old english]

Long2  v. (foll. By for or to + infin.) Have a strong wish or desire for. [old english, = seem *long1 to]

Long.  Abbr. Longitude.

Longboat  n. Sailing-ship's largest boat.

Longbow  n. Bow drawn by hand and shooting a long feathered arrow.
Long-distance  —attrib. Adj.travelling or operating between distant places. —adv. Between distant places (phone long-distance).

Long division  n. Division of numbers with details of the calculations written down.

Long-drawn  adj. (also long-drawn-out) prolonged.

Longeron  n. Longitudinal member of a plane's fuselage. [french]

Longevity  n. Formal long life. [latin longus long, aevum age]

Long face  n. Dismal expression.

Longhand  n. Ordinary handwriting.

Long haul  n. 1 transport over a long distance. 2 prolonged effort or task.

Longing  —n. Intense desire. —adj. Having or showing this.  longingly adv.

Long in the tooth  predic. Adj. Colloq. Old.

Longitude  n. 1 angular distance east or west from a standard meridian such as greenwich to the meridian of any place. 2 angular distance of a celestial body, esp. Along the ecliptic. [latin longitudo length, from longus long]

Longitudinal  adj. 1 of or in length. 2 running lengthwise. 3 of longitude.  longitudinally adv.

Long johns  n.pl. Colloq. Long underpants.

Long jump  n. Athletic contest of jumping as far as possible along the ground in one leap.

Long-life  adj. (of milk etc.) Treated to prolong its period of usability.

Long-lived  adj. Having a long life; durable.

Long-lost  attrib. Adj. That has been lost for a long time.

Long-playing  adj. (of a gramophone record) playing for about 20–30 minutes on each side.

Long-range  adj. 1 having a long range. 2 relating to a period of time far into the future (long-range weather forecast).

Long-running  adj. Continuing for a long time (a long-running musical).

Longshore  attrib. Adj. 1 existing on or frequenting the shore. 2 directed along the shore. [from along shore]

Longshoreman  n. Us docker.

Long shot  n. 1 wild guess or venture. 2 bet at long odds.

Long sight  n. Ability to see clearly only what is comparatively distant.

Long-sighted  adj. 1 having long sight. 2 far-sighted.  long-sightedness n.

Long-standing  adj. That has long existed.

Long-suffering  adj. Bearing provocation patiently.

Long-term  adj. Of or for a long period of time (long-term plans).

Long wave  n. Radio wave of frequency less than 300 khz.

Longways  adv. (also longwise) = *lengthways.

Long-winded  adj. (of a speech or writing) tediously lengthy.

Loo  n. Colloq. Lavatory. [origin uncertain]

Loofah  n. Rough bath-sponge made from the dried pod of a type of gourd. [arabic]

